exp_id,model,features,n_features,n_windows,val_days,mean_ic,std_ic,w1_ic,w2_ic,w3_ic,w4_ic,w5_ic,w6_ic,w7_ic,w8_ic,w9_ic,w10_ic,params,note
20260504_095946,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0154,0.0795,0.0337,-0.0060,-0.0201,0.1547,-0.0854,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 12.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_100003,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0195,0.0800,0.0305,0.0010,-0.0047,0.1589,-0.0880,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 8.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",
20260504_100253,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0207,0.0807,0.0432,-0.0184,0.0484,0.1369,-0.1066,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 3.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260504_100345,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0224,0.0812,0.0297,-0.0034,0.0137,0.1621,-0.0900,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",
20260504_101317,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0072,0.0890,0.0185,-0.0473,0.0225,0.1551,-0.1129,,,,,,"{'max_depth': 4, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d4
20260504_101329,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0218,0.0775,0.0366,-0.0028,0.0034,0.1552,-0.0834,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d5
20260504_101352,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0245,0.0724,0.0255,0.0280,-0.0166,0.1520,-0.0665,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6
20260504_101458,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0208,0.0530,0.0327,0.0322,-0.0215,0.1072,-0.0463,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d8
20260504_101542,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0133,0.0640,-0.0042,0.0437,-0.0211,0.1186,-0.0704,,,,,,"{'max_depth': 7, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d7
20260504_101649,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0199,0.0732,0.0338,-0.0071,-0.0150,0.1524,-0.0644,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 3.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_λ3
20260504_101708,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0147,0.0681,0.0226,-0.0071,-0.0140,0.1383,-0.0660,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_λ5
20260504_101743,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0186,0.0633,0.0181,0.0461,-0.0219,0.1190,-0.0682,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 20.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_λ20
20260504_101828,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0245,0.0724,0.0255,0.0280,-0.0166,0.1520,-0.0665,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_λ10
20260504_101907,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0190,0.0669,0.0296,0.0277,-0.0182,0.1296,-0.0737,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 15.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_λ15
20260504_102002,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0218,0.0714,-0.0028,0.0438,-0.0125,0.1465,-0.0660,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7}",xgb_d6_λ10_col07
20260504_102841,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0245,0.0724,0.0255,0.0280,-0.0166,0.1520,-0.0665,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_mcw10
20260504_102916,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0283,0.0744,0.0292,0.0271,-0.0015,0.1581,-0.0713,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_mcw20
20260504_102951,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0245,0.0678,0.0048,0.0524,-0.0000,0.1353,-0.0701,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 30, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_mcw30
20260504_103040,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0230,0.0658,0.0318,0.0258,-0.0028,0.1321,-0.0718,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 15, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_mcw15
20260504_103112,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,7,0.0263,0.0682,0.0207,0.0536,-0.0008,0.1332,-0.0753,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 25, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",xgb_d6_mcw25
20260510_111043,lgbm,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,0.0011,0.0212,0.0306,0.0005,-0.0244,-0.0195,0.0184,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",5d_E66
20260510_111055,xgb,ret_5d|ret_10d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,0.0003,0.0221,-0.0133,-0.0033,-0.0309,0.0174,0.0316,,,,,,"{'max_depth': 8, 'n_estimators': 400, 'min_child_weight': 10, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",5d_E27
20260510_112404,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0107,0.0280,0.0561,-0.0132,-0.0132,-0.0069,0.0306,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",5d+longmom_A
20260510_112413,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0087,0.0320,0.0668,-0.0045,-0.0218,-0.0150,0.0181,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 12}",5d+longmom_B
20260510_112421,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0040,0.0207,0.0321,0.0044,-0.0321,0.0049,0.0109,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",5d+longmom_C
20260510_113032,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0072,0.0245,0.0499,0.0003,-0.0263,0.0045,0.0075,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 10.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",5d+longmom_D_xgb_lam10
20260510_115032,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0056,0.0290,0.0623,-0.0120,-0.0181,-0.0048,0.0007,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 6}",scan_lgbm_nl6
20260510_115046,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0100,0.0278,0.0592,0.0011,-0.0152,-0.0151,0.0201,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 10}",scan_lgbm_nl10
20260510_115100,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0072,0.0287,0.0593,-0.0107,-0.0148,-0.0150,0.0170,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 12}",scan_lgbm_nl12
20260510_115113,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0195,0.0278,0.0568,0.0071,-0.0249,0.0381,0.0203,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.5, 'num_leaves': 8}",scan_lgbm_col0.5
20260510_115127,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0108,0.0286,0.0562,0.0003,-0.0207,-0.0123,0.0305,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6, 'num_leaves': 8}",scan_lgbm_col0.6
20260510_115141,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0048,0.0261,0.0461,-0.0031,-0.0323,-0.0045,0.0181,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.8, 'num_leaves': 8}",scan_lgbm_col0.8
20260510_115157,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0082,0.0237,0.0443,-0.0016,-0.0262,0.0025,0.0220,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 1.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",scan_xgb_lam1.0
20260510_115213,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0127,0.0217,0.0443,0.0054,-0.0202,0.0073,0.0267,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 2.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",scan_xgb_lam2.0
20260510_115228,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0252,0.0369,0.0389,0.0179,-0.0344,0.0800,0.0235,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.4}",scan_xgb_col0.4
20260510_115244,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0210,0.0351,0.0321,0.0064,-0.0194,0.0832,0.0029,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.5}",scan_xgb_col0.5
20260510_115259,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0097,0.0264,0.0587,0.0040,-0.0216,0.0024,0.0050,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7}",scan_xgb_col0.7
20260510_120501,xgb,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|ret_20d_rank|vol_20d_rank|bb_position_rank,17,5,21,0.0127,0.0217,0.0443,0.0054,-0.0202,0.0073,0.0267,,,,,,"{'max_depth': 6, 'n_estimators': 400, 'min_child_weight': 20, 'reg_lambda': 2.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.6}",5d_xgb_lam2_exret_check
20260510_125005,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|main_pct|main_pct_ma5|margin_buy_ratio|margin_bal_chg|ret_20d_rank|vol_20d_rank|bb_position_rank|main_pct_rank|main_pct_ma5_rank|margin_buy_ratio_rank|margin_bal_chg_rank,25,5,21,nan,nan,,,,,,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",5d+longmom+margin
20260510_164819,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|pb|pe_ttm|main_pct|main_pct_ma5|ret_20d_rank|vol_20d_rank|bb_position_rank|main_pct_rank|main_pct_ma5_rank,21,5,21,nan,nan,,,,,,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",final_verify_lgbm_5d,
20260510_164942,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,-0.0002,0.0139,0.0160,0.0065,-0.0053,-0.0246,0.0062,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",final_verify_lgbm_5d_clean,-0.0064
20260510_170241,lgbm,ret_1d|ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|volume_z_20d|vol_ratio_5_20|turnover_ma_20d|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|ret_120d_rank|vol_20d_rank|bb_position_rank,20,5,21,-0.0141,0.0191,0.0047,-0.0125,-0.0218,-0.0463,0.0052,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",20feat_lgbm_5d_final,-0.0108
20260510_170500,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|ret_120d|volume_z_20d|vol_ratio_5_20|turnover_ma_20d|close_over_ma20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|ret_120d_rank|vol_20d_rank|bb_position_rank,19,5,21,-0.0164,0.0341,-0.0107,0.0306,-0.0670,-0.0399,0.0052,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",19feat_no_ret1d,+0.0000
20260510_174829,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,-0.0002,0.0139,0.0160,0.0065,-0.0053,-0.0246,0.0062,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",scan-base-current,-0.0064
20260510_174838,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,0.0019,0.0223,-0.0143,0.0193,0.0373,-0.0160,-0.0168,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 4}",scan-nl4,-0.0201
20260510_174849,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,-0.0240,0.0182,-0.0467,0.0084,-0.0294,-0.0315,-0.0206,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.1, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 16}",scan-nl16,-0.0073
20260510_174859,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,-0.0013,0.0158,0.0160,0.0064,-0.0053,-0.0298,0.0062,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 0.5, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",scan-lam0.5,-0.0070
20260510_174909,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,-0.0008,0.0134,0.0160,0.0064,-0.0110,-0.0213,0.0056,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 2.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",scan-lam2.0,-0.0064
20260510_174918,lgbm,ret_5d|ret_10d|ret_20d|ret_60d|volume_z_20d|vol_ratio_5_20|close_over_ma60|rsi_14|macd_hist|bb_width|dist_52w_high|dist_52w_low|ret_20d_rank|vol_20d_rank|bb_position_rank,15,5,21,-0.0004,0.0168,0.0160,0.0081,0.0009,-0.0325,0.0056,,,,,,"{'max_depth': 5, 'n_estimators': 400, 'min_child_samples': 20, 'reg_lambda': 5.0, 'learning_rate': 0.05, 'subsample': 0.6, 'colsample_bytree': 0.7, 'num_leaves': 8}",scan-lam5.0,-0.0090
